CRASH_DATE,LATITUDE,LONGITUDE
2022-12-31,41.7729,-87.6117
2022-12-31,41.8235,-87.7046
2022-12-31,41.8815,-87.6475
2022-12-31,41.8920,-87.7065
2022-12-31,41.7026,-87.5294
2022-12-31,41.7705,-87.7224
2022-12-31,41.8663,-87.7082
2022-12-31,41.9242,-87.7595
2022-12-31,41.7580,-87.5568
2022-12-31,41.7141,-87.6429
2022-12-31,41.7477,-87.7412
2022-12-31,41.7120,-87.6819
2022-12-31,41.8389,-87.7067
2022-12-31,41.8869,-87.7747
2022-12-31,41.9388,-87.7568
2022-12-31,41.7571,-87.5665
2022-12-31,41.8010,-87.7036
2022-12-31,41.7929,-87.7421
2022-12-31,41.9380,-87.7075
2022-12-31,41.8133,-87.7239
2022-12-31,41.9372,-87.7074
2022-12-31,,
2022-12-31,41.8484,-87.7187
2022-12-31,41.9727,-87.6661
2022-12-31,41.9529,-87.7963
2022-12-31,41.9543,-87.6765
2022-12-31,41.9526,-87.7957
2022-12-31,41.7660,-87.5715
2022-12-31,41.9241,-87.7193
2022-12-31,41.7797,-87.6835
2022-12-31,41.7649,-87.6786
2022-12-31,41.8993,-87.6187
2022-12-31,41.7519,-87.5627
2022-12-31,41.9072,-87.7151
2022-12-31,41.9463,-87.7392
2022-12-31,41.8659,-87.6614
2022-12-31,41.9161,-87.7264
2022-12-31,41.7798,-87.6352
2022-12-31,41.9750,-87.7481
2022-12-31,41.6928,-87.6053
2022-12-31,41.8871,-87.7065
2022-12-31,41.8521,-87.6709
2022-12-31,41.9037,-87.6482
2022-12-31,41.9119,-87.7363
2022-12-31,41.9576,-87.7139
2022-12-31,41.7459,-87.7082
2022-12-31,41.9250,-87.6859
2022-12-31,41.8549,-87.6758
2022-12-31,41.7481,-87.7017
2022-12-31,41.9066,-87.7015
2022-12-31,41.8519,-87.6901
2022-12-31,41.9522,-87.7044
2022-12-31,41.9017,-87.7345
2022-12-31,41.8425,-87.7246
2022-12-31,41.8911,-87.6231
2022-12-31,41.9239,-87.7661
2022-12-31,41.7751,-87.6870
2022-12-31,41.8524,-87.7030
2022-12-31,41.8194,-87.6654
2022-12-31,41.8272,-87.6845
2022-12-31,41.8460,-87.7245
2022-12-31,41.9352,-87.7392
2022-12-31,41.9068,-87.7582
2022-12-31,41.7941,-87.8011
2022-12-31,41.9131,-87.7458
2022-12-31,41.7532,-87.5832
2022-12-31,41.7457,-87.7219
2022-12-31,41.8688,-87.7034
2022-12-31,41.8793,-87.6337
2022-12-31,41.8640,-87.6508
2022-12-31,41.9832,-87.6951
2022-12-31,41.7786,-87.7229
2022-12-31,41.9077,-87.7299
2022-12-31,41.7371,-87.5641
2022-12-31,41.8612,-87.7252
2022-12-31,41.7083,-87.5390
2022-12-31,41.8824,-87.7603
2022-12-31,41.7520,-87.5807
2022-12-31,41.7795,-87.7176
2022-12-31,41.9006,-87.7166
2022-12-31,41.7861,-87.6849
2022-12-31,41.9106,-87.6775
2022-12-31,,
2022-12-31,41.8968,-87.6169
2022-12-31,41.6918,-87.6728
2022-12-31,41.9465,-87.7275
2022-12-31,41.6919,-87.6775
2022-12-31,41.7528,-87.6338
2022-12-31,41.7224,-87.5755
2022-12-31,41.7966,-87.6843
2022-12-31,41.7785,-87.7246
2022-12-31,41.9857,-87.6603
2022-12-31,41.9107,-87.6261
2022-12-31,41.6992,-87.5294
2022-12-31,41.6573,-87.5594
2022-12-31,41.7217,-87.6248
2022-12-31,41.6959,-87.6432
2022-12-31,41.8552,-87.6662
2022-12-31,41.8079,-87.7271
2022-12-31,41.7909,-87.6936
2022-12-31,41.7857,-87.7304
2022-12-31,41.9084,-87.7278
2022-12-31,41.7813,-87.6899
2022-12-31,41.9760,-87.6870
2022-12-31,41.8756,-87.7452
2022-12-31,41.9612,-87.7172
2022-12-31,41.8517,-87.6904
2022-12-31,41.7797,-87.6933
2022-12-31,41.9038,-87.6321
2022-12-31,41.8951,-87.7457
2022-12-31,41.8750,-87.7452
2022-12-31,42.0174,-87.6903
2022-12-31,41.9252,-87.6683
2022-12-31,41.8742,-87.6277
2022-12-31,41.7892,-87.6206
2022-12-31,41.9975,-87.6934
2022-12-31,41.9165,-87.8007
2022-12-31,41.9317,-87.7255
2022-12-31,41.9395,-87.7712
2022-12-31,41.8167,-87.7435
2022-12-31,41.8409,-87.7085
2022-12-31,41.7789,-87.7125
2022-12-31,41.9523,-87.7139
2022-12-31,41.9247,-87.7735
2022-12-30,41.8514,-87.6907
2022-12-30,41.8764,-87.7744
2022-12-30,41.8678,-87.7010
2022-12-30,41.8876,-87.6282
2022-12-30,41.9036,-87.6607
2022-12-30,41.9200,-87.7721
2022-12-30,41.9577,-87.6811
2022-12-30,41.7261,-87.5849
2022-12-30,41.6918,-87.6937
2022-12-30,41.8665,-87.7108
2022-12-30,41.8844,-87.6338
2022-12-30,41.7969,-87.7623
2022-12-30,41.7302,-87.6387
2022-12-30,41.6535,-87.6173
2022-12-30,41.7862,-87.7157
2022-12-30,41.7344,-87.6583
2022-12-30,41.9042,-87.7560
2022-12-30,,
2022-12-30,41.7626,-87.6830
2022-12-30,41.7950,-87.5969
2022-12-30,41.7682,-87.6216
2022-12-30,41.6924,-87.6504
2022-12-30,41.8941,-87.6563
2022-12-30,41.7866,-87.6643
2022-12-30,41.9325,-87.7002
2022-12-30,41.8233,-87.6100
2022-12-30,41.8465,-87.6856
2022-12-30,41.9751,-87.7588
2022-12-30,41.7869,-87.6645
2022-12-30,41.7221,-87.5850
2022-12-30,41.8789,-87.6753
2022-12-30,41.9064,-87.7274
2022-12-30,41.9924,-87.6896
2022-12-30,41.8953,-87.7213
2022-12-30,41.7636,-87.6234
2022-12-30,41.8803,-87.6866
2022-12-30,41.8899,-87.6354
2022-12-30,41.9462,-87.7472
2022-12-30,41.9498,-87.7032
2022-12-30,41.6789,-87.6207
2022-12-30,41.8990,-87.6283
2022-12-30,41.9768,-87.6683
2022-12-30,41.8693,-87.6715
2022-12-30,41.8894,-87.6138
2022-12-30,41.8087,-87.6843
2022-12-30,41.8967,-87.6182
2022-12-30,41.7502,-87.6828
2022-12-30,41.9947,-87.6598
2022-12-30,41.8265,-87.6842
2022-12-30,41.7863,-87.6937
2022-12-30,41.8884,-87.6244
2022-12-30,41.9176,-87.7589
2022-12-30,41.8911,-87.6478
2022-12-30,42.0055,-87.6709
2022-12-30,41.8024,-87.5893
2022-12-30,41.6881,-87.5402
2022-12-30,41.9086,-87.6465
2022-12-30,41.9965,-87.6609
2022-12-30,41.9852,-87.6534
2022-12-30,41.9968,-87.7653
2022-12-30,41.7962,-87.7585
2022-12-30,42.0087,-87.6699
2022-12-30,41.7586,-87.5957
2022-12-30,41.8910,-87.6471
2022-12-30,41.9228,-87.7854
2022-12-30,41.7754,-87.7660
2022-12-30,41.6779,-87.6418
2022-12-30,41.8151,-87.7028
2022-12-30,41.7653,-87.6248
2022-12-30,41.8589,-87.7104
2022-12-30,41.9535,-87.6883
2022-12-30,41.8892,-87.6327
2022-12-30,41.7820,-87.7423
2022-12-30,41.7509,-87.6199
2022-12-30,41.9239,-87.7807
2022-12-30,41.7651,-87.6202
2022-12-30,41.7361,-87.6269
2022-12-30,41.7361,-87.6269
2022-12-30,41.8536,-87.6855
2022-12-30,41.9255,-87.7744
2022-12-30,41.9402,-87.6540
2022-12-30,41.8072,-87.7158
2022-12-30,41.9463,-87.7272
2022-12-30,41.9391,-87.7175
2022-12-30,41.7873,-87.6691
2022-12-30,41.8770,-87.7208
2022-12-30,41.7908,-87.6862
2022-12-30,42.0114,-87.6700
2022-12-30,41.9391,-87.7384
2022-12-30,41.9531,-87.7833
2022-12-30,42.0116,-87.6700
2022-12-30,41.9908,-87.6610
2022-12-30,41.7588,-87.5856
2022-12-30,41.9381,-87.7924
2022-12-30,41.7960,-87.7157
2022-12-30,41.7138,-87.6597
2022-12-30,41.8975,-87.6169
2022-12-30,41.9386,-87.7765
2022-12-30,41.7993,-87.6734
2022-12-30,41.9600,-87.7939
2022-12-30,41.8956,-87.7139
2022-12-30,41.9561,-87.6744
2022-12-30,41.9608,-87.7478
2022-12-30,41.8100,-87.7238
2022-12-30,41.9836,-87.6602
2022-12-30,41.9903,-87.6710
2022-12-30,41.8098,-87.7235
2022-12-30,41.8690,-87.7352
2022-12-30,41.8933,-87.6328
2022-12-30,41.9057,-87.7262
2022-12-30,41.7377,-87.5852
2022-12-30,41.7213,-87.6628
2022-12-30,41.8958,-87.6256
2022-12-30,41.7196,-87.6238
2022-12-30,41.9173,-87.6582
2022-12-30,41.7587,-87.5863
2022-12-30,41.9968,-87.7873
2022-12-30,41.8966,-87.6311
2022-12-30,41.9541,-87.6773
2022-12-30,41.7765,-87.6461
2022-12-30,41.9092,-87.7339
2022-12-30,41.9507,-87.6543
2022-12-30,41.8977,-87.6240
2022-12-30,41.9317,-87.7271
2022-12-30,41.8711,-87.6863
2022-12-30,41.7893,-87.7414
2022-12-30,41.9459,-87.7570
2022-12-30,41.7464,-87.6826
2022-12-30,41.8822,-87.6837
2022-12-30,41.9901,-87.6706
2022-12-30,41.8521,-87.6855
2022-12-30,41.7953,-87.6429
2022-12-30,41.8586,-87.7385
2022-12-30,41.9135,-87.6482
2022-12-30,41.6780,-87.6316
2022-12-30,41.9739,-87.8434
2022-12-30,41.9211,-87.7149
2022-12-30,41.7797,-87.6414
2022-12-30,41.8910,-87.7749
2022-12-30,41.8728,-87.6861
2022-12-30,41.9608,-87.7476
2022-12-30,42.0054,-87.6733
2022-12-30,41.9007,-87.6308
2022-12-30,41.7837,-87.6059
2022-12-30,42.0120,-87.7085
2022-12-30,41.9537,-87.6501
2022-12-30,41.9214,-87.7806
2022-12-30,41.9175,-87.7087
2022-12-30,41.8530,-87.6238
2022-12-30,41.9636,-87.6571
2022-12-30,41.9547,-87.7079
2022-12-30,41.8845,-87.6372
2022-12-30,41.9972,-87.7955
2022-12-30,41.7799,-87.6303
2022-12-30,41.8137,-87.7047
2022-12-30,41.7206,-87.6725
2022-12-30,41.8483,-87.6734
2022-12-30,41.8522,-87.6792
2022-12-30,41.8973,-87.7751
2022-12-30,41.8541,-87.6653
2022-12-30,41.9951,-87.6897
2022-12-30,41.9942,-87.6896
2022-12-30,41.9690,-87.7282
2022-12-30,41.7856,-87.6159
2022-12-30,41.9909,-87.7967
2022-12-30,41.9246,-87.7240
2022-12-30,41.8966,-87.6398
2022-12-30,41.8097,-87.6751
2022-12-30,41.7795,-87.7900
2022-12-30,41.7362,-87.6243
2022-12-30,41.9388,-87.7394
2022-12-30,41.7961,-87.6429
2022-12-30,41.7068,-87.6430
2022-12-30,41.9709,-87.7757
2022-12-30,41.7725,-87.6445
2022-12-30,41.7999,-87.7232
2022-12-30,41.7557,-87.6634
2022-12-30,41.8770,-87.6175
2022-12-30,41.9604,-87.7628
2022-12-30,41.7967,-87.7283
2022-12-30,41.9029,-87.6676
2022-12-30,41.8040,-87.7334
2022-12-30,41.8692,-87.6303
2022-12-30,41.8823,-87.7658
2022-12-30,41.7865,-87.6742
2022-12-30,41.9364,-87.6549
2022-12-30,41.9540,-87.7078
2022-12-30,41.8750,-87.7369
2022-12-30,41.9243,-87.7472
2022-12-30,41.9238,-87.7863
2022-12-30,41.9682,-87.7409
2022-12-30,41.9577,-87.7080
2022-12-30,41.9759,-87.7877
2022-12-30,41.7531,-87.5945
2022-12-30,41.8801,-87.7689
2022-12-30,41.7703,-87.7224
2022-12-30,41.9307,-87.7491
2022-12-30,41.7262,-87.6821
2022-12-30,41.7659,-87.5849
2022-12-30,41.8873,-87.7656
2022-12-30,41.8094,-87.6195
2022-12-30,41.7780,-87.6838
2022-12-30,41.7863,-87.7045
2022-12-30,41.7547,-87.5898
2022-12-30,41.9932,-87.6791
2022-12-30,41.7214,-87.6590
2022-12-30,41.7535,-87.5640
2022-12-30,41.7746,-87.6834
2022-12-30,41.7933,-87.6226
2022-12-30,41.7515,-87.5860
2022-12-30,41.8276,-87.6148
2022-12-30,41.8169,-87.5947
2022-12-30,41.9415,-87.7569
2022-12-30,41.9248,-87.7123
2022-12-30,41.9807,-87.6564
2022-12-30,41.7213,-87.6508
2022-12-30,41.9974,-87.6696
2022-12-30,41.9097,-87.7514
2022-12-30,41.9509,-87.8012
2022-12-30,41.9951,-87.6897
2022-12-30,41.9630,-87.6847
2022-12-30,41.8941,-87.6176
2022-12-30,41.9613,-87.7023
2022-12-30,41.9887,-87.7670
2022-12-30,41.6546,-87.5458
2022-12-30,41.7876,-87.6173
2022-12-30,41.7744,-87.7663
2022-12-30,41.8201,-87.6946
2022-12-30,41.7715,-87.5817
2022-12-30,41.7929,-87.7421
2022-12-30,41.9008,-87.7166
2022-12-30,41.9684,-87.7273
2022-12-30,41.7451,-87.6076
2022-12-30,41.8769,-87.7450
2022-12-30,41.9446,-87.6508
2022-12-30,41.8182,-87.7433
2022-12-30,41.8971,-87.6370
2022-12-30,41.7525,-87.6512
2022-12-30,41.9966,-87.7639
2022-12-30,41.8293,-87.6793
2022-12-30,41.9874,-87.6600
